var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,-0.0, ,-0.0, 
var2,미용실,0.355,+,,,,,,,,,,,,,,,,
var3,애완동물,-0.481,+,-0.531,+,,,-0.537,+,-0.501,+,,,-0.562,+,-0.676,+,,
var6,양식음식점,0.34,+,0.156,+,,,0.273,+,0.131,+,0.195,+,0.26,+,,,0.154,+
var12,제과점,-0.369,+,,,-0.573,+,-0.502,+,-0.357,+,-0.617,+,-0.365,+,,,-0.475,+
var16,편의점,0.353,+,0.338,+,0.381,+,0.573,+,0.358,+,0.498,+,0.57,+,0.376,+,0.261,+
var18,사업체수,0.232,+,,,,,0.227,+,,,,,0.462,+,0.246,+,,
var22,대학교,0.162,+,0.449,+,,,0.157,+,0.45,+,,,0.167,+,0.449,+,,
