var,c_2022_20_ols,p_2022_20_ols,c_2022_20_fwd,p_2022_20_fwd,c_2022_20,p_2022_20
애완동물,-0.538,+,-0.468,+,-0.531,+
종사자수,-0.372,+,-0.329,+,-0.264,+
제과점,-0.222, ,-0.286,+,,
미용실,-0.011, ,-0.085, ,,
대형마트,0.078, ,0.067, ,,
기타대학,0.085, ,0.08, ,,
지가변동률,0.109, ,0.111,+,0.111,+
양식음식점,0.079, ,0.123, ,0.156,+
네일숍,0.298,+,0.266,+,0.186,+
일식음식점,0.384,+,0.278, ,,
편의점,0.397,+,0.371,+,0.338,+
대학교,0.435,+,0.437,+,0.449,+
분식전문점,0.114, ,,,,
한식음식점,-0.322, ,,,,
중식음식점,-0.029, ,,,,
치킨전문점,-0.017, ,,,,
커피-음료,0.065, ,,,,
패스트푸드점,-0.037, ,,,,
호프-간이주점,0.035, ,,,,
쇼핑업체수,-0.109, ,,,,
슈퍼마켓,-0.008, ,,,,
사업체수,0.193, ,,,,
지가,0.001, ,,,,
