var,c_2024_all_ols,p_2024_all_ols,c_2024_all_fwd,p_2024_all_fwd,c_2024_all,p_2024_all
애완동물,-0.725,+,-0.671,+,-0.562,+
제과점,-0.298,+,-0.326,+,-0.365,+
종사자수,-0.181, ,-0.224,+,-0.261,+
쇼핑업체수,-0.104, ,-0.107, ,,
대학교,0.161,+,0.166,+,0.167,+
네일숍,0.27, ,0.208, ,0.288,+
미용실,0.229, ,0.255, ,,
양식음식점,0.202,+,0.261,+,0.26,+
편의점,0.487,+,0.466,+,0.57,+
사업체수,0.417,+,0.553,+,0.462,+
분식전문점,0.143, ,,,,
한식음식점,0.14, ,,,,
일식음식점,-0.118, ,,,,
중식음식점,-0.023, ,,,,
치킨전문점,-0.156, ,,,,
커피-음료,0.043, ,,,,
패스트푸드점,-0.076, ,,,,
호프-간이주점,0.083, ,,,,
대형마트,0.04, ,,,,
슈퍼마켓,0.033, ,,,,
지가변동률,0.034, ,,,,
지가,-0.0, ,,,,
기타대학,0.027, ,,,,
