var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
Intercept,상수,-0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,-0.0, ,-0.0, 
var18,사업체수,0.251,+,,,,,0.266,+,,,,,0.553,+,0.228,+,,
var22,대학교,0.174,+,0.437,+,-0.065, ,0.172,+,0.43,+,-0.076, ,0.166,+,0.435,+,,
var6,양식음식점,0.314,+,0.123, ,,,0.279,+,0.133, ,0.151, ,0.261,+,0.096, ,0.16,+
var12,제과점,-0.378,+,-0.286,+,-0.564,+,-0.498,+,-0.237,+,-0.576,+,-0.326,+,,,-0.46,+
var16,편의점,0.338,+,0.371,+,0.429,+,0.533,+,0.522,+,0.561,+,0.466,+,0.389,+,0.324,+
var3,애완동물,-0.515,+,-0.468,+,,,-0.707,+,-0.63,+,,,-0.671,+,-0.701,+,,
var2,미용실,0.414,+,-0.085, ,,,0.428,+,0.071, ,-0.331,+,0.255, ,,,-0.269, 
var21,지가,-0.079, ,,,-0.342,+,,,-0.007, ,-0.04, ,,,,,-0.164,+
