var,c_2024_30_ols,p_2024_30_ols,c_2024_30_fwd,p_2024_30_fwd,c_2024_30,p_2024_30
제과점,-0.356,+,-0.46,+,-0.475,+
미용실,-0.282, ,-0.269, ,,
분식전문점,-0.252, ,-0.204,+,-0.238,+
치킨전문점,-0.271,+,-0.185, ,-0.25,+
지가,-0.155,+,-0.164,+,-0.171,+
기타대학,-0.054, ,-0.065, ,,
대형마트,0.102,+,0.094,+,0.112,+
양식음식점,0.159,+,0.16,+,0.154,+
일식음식점,0.288, ,0.304,+,0.395,+
편의점,0.429,+,0.324,+,0.261,+
지가변동률,0.37,+,0.43,+,0.442,+
네일숍,0.477,+,0.51,+,0.347,+
애완동물,-0.086, ,,,,
한식음식점,-0.122, ,,,,
중식음식점,0.051, ,,,,
커피-음료,-0.02, ,,,,
패스트푸드점,0.136, ,,,,
호프-간이주점,0.076, ,,,,
쇼핑업체수,-0.164,+,,,,
슈퍼마켓,-0.047, ,,,,
사업체수,0.355,+,,,,
종사자수,-0.24, ,,,,
대학교,-0.057, ,,,,
