var,c_2024_20_ols,p_2024_20_ols,c_2024_20_fwd,p_2024_20_fwd,c_2024_20,p_2024_20
애완동물,-0.644,+,-0.701,+,-0.676,+
종사자수,-0.369,+,-0.38,+,-0.358,+
쇼핑업체수,-0.119, ,-0.155,+,-0.145,+
대형마트,0.071, ,0.061, ,,
지가변동률,0.07, ,0.073, ,0.09,+
기타대학,0.071, ,0.074, ,,
양식음식점,0.076, ,0.096, ,,
커피-음료,0.123, ,0.132,+,0.166,+
사업체수,0.17, ,0.228,+,0.246,+
네일숍,0.319,+,0.295,+,0.291,+
편의점,0.435,+,0.389,+,0.376,+
대학교,0.434,+,0.435,+,0.449,+
미용실,-0.02, ,,,,
분식전문점,0.048, ,,,,
한식음식점,-0.067, ,,,,
일식음식점,0.15, ,,,,
중식음식점,-0.01, ,,,,
치킨전문점,-0.068, ,,,,
패스트푸드점,-0.008, ,,,,
제과점,-0.15, ,,,,
호프-간이주점,0.027, ,,,,
슈퍼마켓,-0.005, ,,,,
지가,0.011, ,,,,
