var,c_2022_30_ols,p_2022_30_ols,c_2022_30_fwd,p_2022_30_fwd,c_2022_30,p_2022_30
한식음식점,-0.362, ,-0.347,+,-0.335,+
제과점,-0.259,+,-0.311,+,-0.18,+
지가,-0.249,+,-0.277,+,-0.26,+
치킨전문점,-0.318,+,-0.27,+,-0.22,+
대학교,-0.09,+,-0.089,+,-0.098,+
슈퍼마켓,-0.066, ,-0.071, ,,
분식전문점,0.023, ,-0.043, ,,
대형마트,0.074, ,0.073, ,,
호프-간이주점,0.171,+,0.144,+,0.141,+
사업체수,0.269,+,0.182,+,0.187,+
네일숍,0.308, ,0.205, ,,
편의점,0.429,+,0.358,+,0.298,+
일식음식점,0.488,+,0.496,+,0.537,+
미용실,-0.054, ,,,,
애완동물,-0.189, ,,,,
양식음식점,-0.048, ,,,,
중식음식점,-0.001, ,,,,
커피-음료,-0.039, ,,,,
패스트푸드점,0.062, ,,,,
쇼핑업체수,-0.061, ,,,,
지가변동률,0.0, ,,,,
종사자수,-0.09, ,,,,
기타대학,-0.036, ,,,,
월평균소득,0.048, ,,,,
