var,c_2024_20_ols,p_2024_20_ols,c_2024_20_fwd,p_2024_20_fwd,c_2024_20,p_2024_20
애완동물,-0.632,+,-0.619,+,-0.658,+
한식음식점,-0.375, ,-0.209, ,,
월평균소득,-0.175,+,-0.19,+,-0.158,+
슈퍼마켓,-0.085,+,-0.061, ,,
양식음식점,0.039, ,0.065, ,,
기타대학,0.083,+,0.077, ,,
커피-음료,0.089, ,0.102,+,0.105,+
일식음식점,0.307, ,0.328,+,0.301,+
대학교,0.411,+,0.403,+,0.421,+
편의점,0.514,+,0.474,+,0.372,+
네일숍,0.195, ,,,,
미용실,-0.231, ,,,,
분식전문점,0.237, ,,,,
중식음식점,0.012, ,,,,
치킨전문점,-0.079, ,,,,
패스트푸드점,-0.069, ,,,,
제과점,0.002, ,,,,
호프-간이주점,0.15, ,,,,
대형마트,0.072, ,,,,
쇼핑업체수,-0.051, ,,,,
지가변동률,0.039, ,,,,
지가,0.02, ,,,,
사업체수,0.203, ,,,,
종사자수,-0.242,+,,,,
