var,c_2024_30_ols,p_2024_30_ols,c_2024_30_fwd,p_2024_30_fwd,c_2024_30,p_2024_30
지가,-0.153,+,-0.188,+,-0.151,+
대학교,-0.074, ,-0.073, ,-0.08,+
양식음식점,0.083, ,0.225,+,,
사업체수,0.41,+,0.273,+,0.25,+
지가변동률,0.301,+,0.351,+,0.329,+
한식음식점,-0.282, ,,,-0.312,+
일식음식점,0.337,+,,,0.459,+
치킨전문점,-0.247,+,,,-0.228,+
제과점,-0.179, ,,,-0.222,+
호프-간이주점,0.16,+,,,0.137,+
편의점,0.446,+,,,0.362,+
네일숍,0.116, ,,,,
미용실,-0.178, ,,,,
애완동물,-0.097, ,,,,
분식전문점,-0.066, ,,,,
중식음식점,0.064, ,,,,
커피-음료,0.027, ,,,,
패스트푸드점,0.088, ,,,,
대형마트,0.067, ,,,,
쇼핑업체수,-0.061, ,,,,
슈퍼마켓,-0.049, ,,,,
종사자수,-0.218,+,,,,
기타대학,-0.042, ,,,,
월평균소득,-0.001, ,,,,
