var,c_2023_20_ols,p_2023_20_ols,c_2023_20_fwd,p_2023_20_fwd,c_2023_20,p_2023_20
애완동물,-0.682,+,-0.629,+,-0.674,+
한식음식점,-0.385, ,-0.205, ,,
월평균소득,-0.155,+,-0.179,+,-0.145,+
슈퍼마켓,-0.09,+,-0.065, ,,
기타대학,0.089,+,0.081,+,0.08,+
양식음식점,0.089, ,0.081, ,,
커피-음료,0.072, ,0.11,+,0.114,+
일식음식점,0.268, ,0.323,+,0.314,+
대학교,0.41,+,0.404,+,0.409,+
편의점,0.499,+,0.475,+,0.382,+
네일숍,0.23, ,,,,
미용실,-0.116, ,,,,
분식전문점,0.276, ,,,,
중식음식점,-0.026, ,,,,
치킨전문점,-0.081, ,,,,
패스트푸드점,-0.098, ,,,,
제과점,-0.031, ,,,,
호프-간이주점,0.123, ,,,,
대형마트,0.067, ,,,,
쇼핑업체수,-0.035, ,,,,
지가변동률,0.072, ,,,,
지가,0.022, ,,,,
사업체수,0.196, ,,,,
종사자수,-0.194, ,,,,
