var,c_2024_all_ols,p_2024_all_ols,c_2024_all_fwd,p_2024_all_fwd,c_2024_all,p_2024_all
애완동물,-0.497,+,-0.649,+,-0.655,+
월평균소득,-0.502,+,-0.483,+,-0.479,+
치킨전문점,-0.181, ,-0.348,+,-0.34,+
쇼핑업체수,0.089,+,0.079, ,,
대학교,0.13,+,0.132,+,0.129,+
호프-간이주점,0.231,+,0.14,+,0.138,+
사업체수,0.208,+,0.169,+,0.209,+
양식음식점,0.215,+,0.187,+,0.185,+
편의점,0.293,+,0.267,+,0.235,+
분식전문점,0.704,+,0.483,+,0.516,+
네일숍,0.341,+,,,,
미용실,-0.482,+,,,,
한식음식점,-0.275, ,,,,
일식음식점,-0.052, ,,,,
중식음식점,-0.021, ,,,,
커피-음료,0.056, ,,,,
패스트푸드점,-0.158, ,,,,
제과점,-0.047, ,,,,
대형마트,0.027, ,,,,
슈퍼마켓,-0.062, ,,,,
지가변동률,0.047, ,,,,
지가,-0.001, ,,,,
종사자수,-0.038, ,,,,
기타대학,0.026, ,,,,
