var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,-0.0, ,-0.0, 
var3,애완동물,-0.515,+,-0.549,+,,,-0.576,+,-0.674,+,-0.235,+,-0.655,+,-0.658,+,,
var4,분식전문점,0.614,+,,,,,0.624,+,,,,,0.516,+,,,,
var6,양식음식점,0.223,+,,,,,0.207,+,,,,,0.185,+,,,,
var9,치킨전문점,-0.326,+,,,-0.22,+,-0.27,+,,,-0.246,+,-0.34,+,,,-0.228,+
var13,호프-간이주점,0.117,+,,,0.141,+,0.114,+,,,,,0.138,+,,,0.137,+
var20,사업체수,0.213,+,,,0.187,+,0.236,+,,,0.196,+,0.209,+,,,0.25,+
var22,대학교,0.131,+,0.419,+,-0.098,+,0.128,+,0.409,+,-0.107,+,0.129,+,0.421,+,-0.08,+
var24,월평균소득,-0.453,+,-0.159,+,,,-0.452,+,-0.145,+,,,-0.479,+,-0.158,+,,
