var,c_2023_30_ols,p_2023_30_ols,c_2023_30_fwd,p_2023_30_fwd,c_2023_30,p_2023_30
쇼핑업체수,-0.049, ,-0.412,+,-0.093,+
대학교,-0.097,+,-0.085,+,-0.107,+
지가변동률,0.224,+,0.234,+,0.185,+
양식음식점,0.079, ,0.271,+,,
사업체수,0.259,+,0.274,+,0.196,+
유통업체수,-0.028, ,0.325, ,,
애완동물,-0.238, ,,,-0.235,+
일식음식점,0.288, ,,,0.385,+
치킨전문점,-0.281,+,,,-0.246,+
편의점,0.545,+,,,0.291,+
네일숍,0.314, ,,,,
미용실,-0.227, ,,,,
분식전문점,-0.074, ,,,,
한식음식점,-0.309, ,,,,
중식음식점,-0.001, ,,,,
커피-음료,0.015, ,,,,
패스트푸드점,0.145, ,,,,
제과점,-0.143, ,,,,
호프-간이주점,0.145, ,,,,
대형마트,0.079, ,,,,
슈퍼마켓,-0.059, ,,,,
지가,0.037, ,,,,
종사자수,-0.084, ,,,,
기타대학,-0.038, ,,,,
