var,c_2023_20_ols,p_2023_20_ols,c_2023_20_fwd,p_2023_20_fwd,c_2023_20,p_2023_20
애완동물,-0.751,+,-0.79,+,-0.734,+
종사자수,-0.261,+,-0.211,+,-0.275,+
치킨전문점,-0.074, ,-0.146, ,,
슈퍼마켓,-0.085,+,-0.087,+,-0.081,+
기타대학,0.092,+,0.093,+,0.091,+
커피-음료,0.076, ,0.097,+,0.114,+
양식음식점,0.108, ,0.155,+,,
사업체수,0.296,+,0.238,+,0.241,+
미용실,0.044, ,0.303, ,,
대학교,0.411,+,0.409,+,0.411,+
편의점,0.516,+,0.509,+,0.491,+
일식음식점,0.207, ,,,0.268,+
네일숍,0.215, ,,,,
분식전문점,0.264, ,,,,
한식음식점,-0.329, ,,,,
중식음식점,-0.032, ,,,,
패스트푸드점,-0.121, ,,,,
제과점,-0.107, ,,,,
호프-간이주점,0.125, ,,,,
유통업체수,-0.021, ,,,,
대형마트,0.065, ,,,,
쇼핑업체수,-0.039, ,,,,
지가변동률,0.057, ,,,,
지가,0.029, ,,,,
