var,c_2024_all_ols,p_2024_all_ols,c_2024_all_fwd,p_2024_all_fwd,c_2024_all,p_2024_all
애완동물,-0.792,+,-0.625,+,-0.612,+
종사자수,-0.265,+,-0.306,+,-0.307,+
제과점,-0.287,+,-0.282,+,-0.254,+
패스트푸드점,-0.222,+,-0.246,+,-0.29,+
커피-음료,0.057, ,0.088, ,,
대학교,0.133,+,0.147,+,0.148,+
호프-간이주점,0.239,+,0.182,+,0.167,+
양식음식점,0.256,+,0.211,+,0.225,+
편의점,0.377,+,0.328,+,0.324,+
분식전문점,0.653,+,0.506,+,0.551,+
사업체수,0.533,+,0.532,+,0.546,+
네일숍,0.281, ,,,,
미용실,0.094, ,,,,
한식음식점,-0.072, ,,,,
일식음식점,-0.228, ,,,,
중식음식점,-0.055, ,,,,
치킨전문점,-0.191, ,,,,
유통업체수,0.008, ,,,,
대형마트,0.006, ,,,,
쇼핑업체수,0.007, ,,,,
슈퍼마켓,-0.044, ,,,,
지가변동률,-0.051, ,,,,
지가,0.055, ,,,,
기타대학,0.037, ,,,,
