var,c_2022_all_ols,p_2022_all_ols,c_2022_all_fwd,p_2022_all_fwd,c_2022_all,p_2022_all
애완동물,-0.633,+,-0.483,+,-0.414,+
제과점,-0.338,+,-0.324,+,-0.286,+
패스트푸드점,-0.245,+,-0.265,+,-0.287,+
종사자수,-0.191, ,-0.193,+,-0.189,+
커피-음료,0.058, ,0.084, ,,
대학교,0.13,+,0.143,+,0.142,+
호프-간이주점,0.21,+,0.167,+,0.162,+
편의점,0.273, ,0.195, ,,
양식음식점,0.245,+,0.264,+,0.273,+
사업체수,0.47,+,0.449,+,0.466,+
분식전문점,0.668,+,0.546,+,0.688,+
네일숍,0.212, ,,,,
미용실,0.091, ,,,,
한식음식점,-0.089, ,,,,
일식음식점,-0.098, ,,,,
중식음식점,-0.045, ,,,,
치킨전문점,-0.168, ,,,,
유통업체수,0.001, ,,,,
대형마트,-0.006, ,,,,
쇼핑업체수,0.002, ,,,,
슈퍼마켓,-0.052, ,,,,
지가변동률,-0.029, ,,,,
지가,-0.025, ,,,,
기타대학,0.041, ,,,,
