var,c_2022_30_ols,p_2022_30_ols,c_2022_30_fwd,p_2022_30_fwd,c_2022_30,p_2022_30
한식음식점,-0.382,+,-0.347,+,-0.335,+
제과점,-0.235, ,-0.311,+,-0.18,+
지가,-0.254,+,-0.277,+,-0.26,+
치킨전문점,-0.318,+,-0.27,+,-0.22,+
대학교,-0.09,+,-0.089,+,-0.098,+
슈퍼마켓,-0.068, ,-0.071, ,,
분식전문점,0.033, ,-0.043, ,,
대형마트,0.079, ,0.073, ,,
호프-간이주점,0.172,+,0.144,+,0.141,+
사업체수,0.239,+,0.182,+,0.187,+
네일숍,0.318, ,0.205, ,,
편의점,0.42,+,0.358,+,0.298,+
일식음식점,0.504,+,0.496,+,0.537,+
미용실,-0.105, ,,,,
애완동물,-0.17, ,,,,
양식음식점,-0.054, ,,,,
중식음식점,0.001, ,,,,
커피-음료,-0.04, ,,,,
패스트푸드점,0.069, ,,,,
유통업체수,-0.017, ,,,,
쇼핑업체수,-0.038, ,,,,
지가변동률,0.004, ,,,,
종사자수,-0.069, ,,,,
기타대학,-0.037, ,,,,
